playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8480830,2023,Andrei Svechnikov,CAR,R,59,1001.8,1198,144,305,52,19,33,18,15,16,4,12,0,0,0,22,142,25,43,4,4,28,58,14,28
8482666,2023,Scott Morrow,CAR,D,2,36.77,38,6,11,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
8482093,2023,Seth Jarvis,CAR,C,81,1518.75,1840,178,318,67,33,34,20,14,17,11,6,3,2,1,52,115,43,42,157,195,7,14,16,32
8478427,2023,Sebastian Aho,CAR,C,78,1530.95,1814,216,400,89,36,53,34,19,29,10,19,2,1,1,18,48,50,57,571,484,16,36,14,28
8475200,2023,Dmitry Orlov,CAR,D,82,1419.82,1713,129,320,26,6,20,6,14,4,0,4,0,0,0,60,115,26,36,0,0,13,26,22,48
8482809,2023,Jackson Blake,CAR,R,1,15.3,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8480031,2023,Max Comtois,CAR,L,1,13.07,18,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
8478970,2023,Jalen Chatfield,CAR,D,72,1094.2,1404,90,213,22,8,14,4,10,0,0,0,0,0,0,66,58,23,30,0,0,12,24,9,18
8477962,2023,Brendan Lemieux,CAR,L,32,256.22,343,29,65,5,3,2,2,0,0,0,0,0,0,0,6,71,3,5,4,11,11,34,6,24
8477488,2023,Brett Pesce,CAR,D,70,1420.2,1725,107,306,13,3,10,3,7,0,0,0,0,0,0,113,25,35,18,0,0,10,20,9,18
8484166,2023,Adam Fantilli,CBJ,C,49,769.8,897,115,247,27,12,15,10,5,3,1,2,0,0,0,25,63,18,15,171,221,8,16,12,24
8482744,2023,James Malatesta,CBJ,L,11,112.38,136,12,23,4,2,2,0,2,0,0,0,0,0,0,2,41,1,2,0,1,1,5,2,7
8479941,2023,Justin Danforth,CBJ,R,71,1013.43,1286,86,174,26,10,16,8,8,0,0,0,0,0,0,46,109,27,12,173,184,8,16,9,20
8480074,2023,Alexandre Texier,CBJ,C,78,1184.1,1509,109,235,30,12,18,11,7,2,0,2,2,2,0,36,57,21,16,6,13,19,38,11,22
8479671,2023,Mathieu Olivier,CBJ,R,54,609.23,792,55,93,12,5,7,3,4,0,0,0,1,1,0,36,163,10,5,4,12,23,70,16,56
8483565,2023,Nick Blankenburg,CBJ,D,12,194.58,247,10,28,1,1,0,0,0,0,0,0,0,0,0,15,21,5,3,0,0,1,4,2,4
8480893,2023,Kirill Marchenko,CBJ,R,78,1280.28,1514,193,359,42,23,19,12,7,11,7,4,0,0,0,39,55,49,28,26,53,7,14,14,28
8479423,2023,Alexander Nylander,CBJ,L,28,454.97,528,72,128,15,11,4,2,2,2,2,0,0,0,0,12,12,6,9,9,10,3,6,3,6
8476346,2023,Johnny Gaudreau,CBJ,L,81,1523.85,1675,160,312,60,12,48,35,13,16,1,15,0,0,0,23,2,34,40,0,1,6,12,18,36
8476923,2023,Damon Severson,CBJ,D,67,1416.88,1580,88,216,28,9,19,9,10,3,0,3,1,0,1,83,45,36,33,0,0,25,51,9,21
8475790,2023,Erik Gudbranson,CBJ,D,78,1533.48,1738,91,218,26,6,20,6,14,0,0,0,1,0,1,170,91,21,26,0,0,21,54,19,47
8480292,2023,Carson Meyer,CBJ,R,14,127.7,158,10,23,2,1,1,1,0,0,0,0,0,0,0,2,37,4,2,0,0,1,2,1,2
8482451,2023,Mikael Pyyhtia,CBJ,L,17,223.62,286,22,36,2,0,2,2,0,0,0,0,0,0,0,20,9,3,1,1,3,0,0,1,2
