playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8478452,2023,Caleb Jones,COL,D,25,305.2,401,19,39,5,0,5,3,2,0,0,0,0,0,0,26,34,6,7,0,0,4,8,1,2
8475780,2023,Chris Wagner,COL,R,13,96.9,157,16,22,2,1,1,1,0,0,0,0,0,0,0,5,30,1,2,36,26,3,9,1,5
8478508,2023,Yakov Trenin,COL,C,76,1107.58,1477,116,243,17,12,5,3,2,0,0,0,1,0,1,36,207,44,33,99,121,12,30,10,23
8484255,2023,Jason Polin,COL,R,7,51.97,77,6,8,1,1,0,0,0,0,0,0,0,0,0,1,14,0,0,1,1,1,2,1,2
8479520,2023,Brandon Duhaime,COL,R,80,868.78,1242,92,177,13,5,8,7,1,0,0,0,1,1,0,37,208,24,17,4,6,18,60,22,65
8475793,2023,Ryan Johansen,COL,C,63,859.5,1153,78,132,23,13,10,7,3,6,4,2,0,0,0,15,60,21,19,431,380,7,14,7,14
8484258,2023,Sam Malinski,COL,D,23,327.18,416,31,74,10,3,7,1,6,2,1,1,0,0,0,22,14,8,10,0,0,3,6,2,4
8478420,2023,Mikko Rantanen,COL,R,80,1832.45,1861,271,525,104,42,62,36,26,36,14,22,0,0,0,49,53,43,43,275,236,24,50,20,42
8470600,2023,Ryan Suter,DAL,D,82,1553.07,1888,102,254,17,2,15,7,8,0,0,0,1,0,1,111,86,16,30,0,0,14,28,0,0
8476884,2023,Derrick Pouliot,DAL,D,5,60.7,87,5,8,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0
8473994,2023,Jamie Benn,DAL,L,82,1239.83,1734,164,296,60,21,39,21,18,21,7,14,3,1,2,50,110,49,33,436,276,17,41,20,45
8475794,2023,Tyler Seguin,DAL,C,68,1125.2,1468,154,271,52,25,27,15,12,8,3,5,1,0,1,22,61,21,27,342,266,13,26,6,12
8480027,2023,Jason Robertson,DAL,L,82,1502.63,1739,231,477,80,29,51,23,28,27,8,19,0,0,0,31,77,60,45,0,0,11,22,15,30
8480848,2023,Ty Dellandrea,DAL,C,42,532.2,727,53,100,9,2,7,4,3,0,0,0,0,0,0,17,63,10,7,93,131,10,23,9,21
8476889,2023,Radek Faksa,DAL,C,74,926.15,1286,71,155,19,7,12,10,2,0,0,0,4,2,2,42,97,29,19,283,237,10,20,9,18
8482702,2023,Logan Stankoven,DAL,C,24,352.13,467,51,104,14,6,8,5,3,2,1,1,0,0,0,11,20,13,8,11,6,2,4,7,14
8479351,2023,Sam Steel,DAL,C,77,1019.62,1336,86,161,24,9,15,13,2,0,0,0,2,1,1,32,58,28,18,94,115,13,29,11,25
8482740,2023,Wyatt Johnston,DAL,C,82,1394.2,1788,216,409,65,32,33,25,8,10,3,7,3,3,0,42,52,39,31,318,316,19,38,20,40
8480036,2023,Miro Heiskanen,DAL,D,71,1742.37,1867,162,401,54,9,45,22,23,20,2,18,0,0,0,97,55,33,36,0,0,12,26,20,42
8478449,2023,Roope Hintz,DAL,C,80,1379.18,1838,182,330,65,30,35,17,18,19,8,11,3,2,1,38,36,24,37,318,248,11,22,18,36
8475825,2023,Jani Hakanp,DAL,D,64,1193.37,1459,56,146,12,2,10,5,5,0,0,0,0,0,0,123,196,13,31,0,0,14,33,6,15
8474149,2023,Evgenii Dadonov,DAL,R,51,671.97,874,67,144,23,12,11,3,8,2,1,1,0,0,0,19,35,18,14,0,4,4,8,4,6
8475168,2023,Matt Duchene,DAL,C,80,1341.3,1629,172,347,65,25,40,26,14,16,6,10,0,0,0,48,30,36,58,360,277,10,20,12,24
8480878,2023,Nils Lundkvist,DAL,D,59,832.27,1134,73,177,19,2,17,11,6,2,0,2,0,0,0,38,44,4,20,0,0,8,16,0,0
8478975,2023,Mason Marchment,DAL,L,81,1219.8,1533,150,283,53,22,31,18,13,11,6,5,0,0,0,34,108,43,45,4,5,24,54,26,54
8475690,2023,Chris Tanev,DAL,D,75,1476.28,2117,56,118,19,2,17,8,9,0,0,0,0,0,0,207,45,25,38,0,0,13,24,5,12
8476902,2023,Esa Lindell,DAL,D,82,1678.68,1980,114,251,26,5,21,8,13,0,0,0,1,0,1,162,74,31,34,0,0,6,12,4,8
8475225,2023,Craig Smith,DAL,C,75,766.25,1079,112,216,20,11,9,4,5,0,0,0,0,0,0,30,51,22,23,1,3,14,33,7,17
8475755,2023,Alexander Petrovic,DAL,D,1,12.87,19,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8481581,2023,Thomas Harley,DAL,D,79,1660.33,1953,144,347,47,15,32,14,18,9,1,8,1,1,0,135,67,37,61,0,0,9,18,7,14
8482145,2023,Mavrik Bourque,DAL,C,1,10.93,17,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0
8470794,2023,Joe Pavelski,DAL,C,82,1378.37,1716,194,329,67,27,40,26,14,21,11,10,0,0,0,70,75,25,56,355,340,10,20,19,40
8474102,2023,David Perron,DET,L,76,1187.8,1530,151,261,47,17,30,17,13,15,7,8,0,0,0,27,111,31,12,16,18,21,45,10,20
8478013,2023,Jake Walman,DET,D,63,1245.47,1570,108,254,21,12,9,2,7,3,1,2,1,0,1,151,42,18,27,0,0,18,34,18,34
8481013,2023,Jonatan Berggren,DET,R,12,130.33,182,14,23,6,2,4,1,3,0,0,0,0,0,0,7,2,3,0,0,0,1,2,5,12
8477429,2023,Andrew Copp,DET,C,79,1285.67,1714,109,193,33,13,20,11,9,3,1,2,3,1,2,51,33,26,31,536,465,13,26,10,16
8475718,2023,Justin Holl,DET,D,38,573.12,747,14,47,5,0,5,2,3,0,0,0,0,0,0,39,59,7,18,0,0,11,22,2,4
8480813,2023,Joe Veleno,DET,C,80,1116.52,1433,86,168,28,12,16,8,8,5,3,2,0,0,0,35,108,23,13,305,317,10,25,15,33
8478512,2023,Austin Czarnik,DET,C,34,286.92,421,24,42,1,0,1,1,0,0,0,0,0,0,0,16,19,4,3,100,104,6,12,1,2
8481542,2023,Moritz Seider,DET,D,82,1833.48,2205,135,286,42,9,33,17,16,17,3,14,1,0,1,212,211,41,39,0,0,24,51,20,43
8474141,2023,Patrick Kane,DET,R,50,918.82,1070,147,266,47,20,27,18,9,9,1,8,0,0,0,13,14,14,30,0,0,7,16,10,20
8479337,2023,Alex DeBrincat,DET,R,82,1467.15,1765,237,482,67,27,40,26,14,15,9,6,0,0,0,35,65,49,39,16,22,14,34,22,50
8473507,2023,Jeff Petry,DET,D,73,1372.05,1761,84,198,24,3,21,8,13,0,0,0,1,0,1,134,149,10,40,0,0,17,39,8,19
8477952,2023,Robby Fabbri,DET,C,68,875.05,1100,97,164,32,18,14,6,8,11,4,7,0,0,0,29,77,16,20,70,50,11,22,7,14
8482762,2023,Simon Edvinsson,DET,D,16,292.08,380,13,43,2,1,1,1,0,0,0,0,0,0,0,25,26,2,10,0,0,2,4,2,4
8479944,2023,Zach Aston-Reese,DET,C,3,15.47,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0
8482078,2023,Lucas Raymond,DET,L,82,1455.77,1819,163,311,72,31,41,24,17,15,5,10,0,0,0,27,69,48,25,4,6,15,30,38,76
8476874,2023,Olli Maatta,DET,D,72,1155.88,1461,48,123,18,4,14,4,10,0,0,0,0,0,0,96,53,15,37,0,0,7,14,7,14
8479992,2023,Michael Rasmussen,DET,C,75,1139.32,1546,101,185,33,13,20,14,6,0,0,0,2,0,2,76,124,18,13,58,62,22,47,20,43
8478466,2023,Daniel Sprong,DET,R,76,912.03,1146,160,299,43,18,25,14,11,12,3,9,0,0,0,15,32,16,26,8,4,11,22,11,22
8475279,2023,Ben Chiarot,DET,D,77,1522.88,1926,107,232,20,5,15,9,6,0,0,0,0,0,0,167,163,18,33,0,0,28,56,13,26
8476906,2023,Shayne Gostisbehere,DET,D,81,1546.08,1751,139,307,56,10,46,18,28,22,2,20,0,0,0,75,29,21,33,0,0,8,16,23,46
8478432,2023,Christian Fischer,DET,R,79,901.13,1288,86,139,19,5,14,8,6,0,0,0,1,1,0,32,138,11,21,88,130,15,36,17,44
8477946,2023,Dylan Larkin,DET,C,68,1371.73,1622,221,425,69,33,36,26,10,19,9,10,1,1,0,34,44,48,44,716,577,13,29,30,63
8477456,2023,J.T. Compher,DET,L,77,1492.9,1801,108,186,48,19,29,22,7,8,4,4,2,2,0,59,51,16,30,465,574,12,24,16,32
8477454,2023,Adam Erne,EDM,L,24,187.65,271,13,27,2,1,1,1,0,0,0,0,0,0,0,5,68,4,4,4,5,3,9,2,7
8480803,2023,Evan Bouchard,EDM,D,81,1862.77,1805,220,488,82,18,64,25,39,33,6,27,0,0,0,105,71,59,82,0,0,16,32,11,22
8479442,2023,Troy Stecher,EDM,D,54,978.43,1273,51,159,7,1,6,3,3,0,0,0,0,0,0,77,68,13,22,0,0,16,32,8,16
8470621,2023,Corey Perry,EDM,R,54,722.63,866,82,143,22,12,10,6,4,4,3,1,0,0,0,17,44,15,20,0,1,17,46,14,40
8475786,2023,Zach Hyman,EDM,L,80,1560.03,1619,290,489,77,54,23,11,12,19,15,4,0,0,0,37,87,35,19,7,9,24,48,21,42
8481598,2023,Philip Broberg,EDM,D,12,139.42,191,6,13,2,0,2,2,0,1,0,1,0,0,0,10,4,2,2,0,0,0,0,0,0
8476454,2023,Ryan Nugent-Hopkins,EDM,C,80,1569.93,1747,183,369,67,18,49,29,20,25,4,21,3,0,3,33,62,61,34,236,256,19,36,7,14
8475169,2023,Evander Kane,EDM,L,77,1291.82,1458,220,427,44,24,20,12,8,7,2,5,0,0,0,29,250,25,41,35,38,27,65,18,45
8477406,2023,Mattias Janmark,EDM,C,71,844.57,1138,67,110,12,4,8,4,4,0,0,0,0,0,0,19,54,15,17,32,43,15,36,13,32
8474641,2023,Adam Henrique,EDM,C,82,1381.63,1756,140,276,51,24,27,15,12,10,5,5,4,1,3,78,99,30,18,577,506,12,27,11,27
8478402,2023,Connor McDavid,EDM,C,76,1623.3,1620,263,452,132,32,100,62,38,42,7,35,1,1,0,39,118,68,84,442,423,15,30,40,78
8481534,2023,Raphael Lavoie,EDM,C,7,51,74,4,9,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,2,1,2,0,0
8476879,2023,Cody Ceci,EDM,D,79,1581.78,1835,97,201,25,5,20,7,13,0,0,0,1,0,1,106,91,25,20,0,0,7,14,3,6
8474040,2023,Sam Gagner,EDM,C,28,285.88,374,48,74,10,5,5,4,1,1,0,1,0,0,0,17,17,2,10,15,9,5,10,1,0
8479576,2023,Vincent Desharnais,EDM,D,78,1226.78,1533,41,109,11,1,10,0,10,0,0,0,1,0,1,122,134,14,42,0,0,22,54,10,32
8480468,2023,James Hamblin,EDM,L,31,245.67,348,18,38,3,2,1,1,0,0,0,0,0,0,0,21,14,7,6,81,79,0,0,2,4
8475842,2023,Sam Carrick,EDM,C,77,941.12,1317,92,158,16,10,6,4,2,1,1,0,2,2,0,35,167,24,17,419,366,26,82,26,79
8475218,2023,Mattias Ekholm,EDM,D,79,1662.9,1870,177,361,45,11,34,23,11,3,2,1,1,1,0,93,136,40,58,0,0,22,47,15,33
8478585,2023,Derek Ryan,EDM,C,70,713.53,1106,52,87,12,5,7,5,2,0,0,0,3,2,1,28,58,35,19,228,181,4,8,18,36
8476967,2023,Brett Kulak,EDM,D,82,1261.52,1544,94,215,16,3,13,4,9,1,0,1,0,0,0,88,77,16,37,0,0,15,30,5,10
8480802,2023,Ryan McLeod,EDM,C,81,1153.68,1502,106,196,30,12,18,15,3,1,0,1,2,0,2,34,65,66,48,365,353,5,10,10,20
8477015,2023,Connor Brown,EDM,R,71,908.77,1125,108,194,12,4,8,6,2,0,0,0,0,0,0,24,32,46,21,17,24,4,10,4,8
8480274,2023,Philip Kemp,EDM,D,1,2.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477934,2023,Leon Draisaitl,EDM,C,81,1676.33,1761,217,426,106,41,65,38,27,35,19,16,1,0,1,26,58,82,92,826,625,28,56,21,42
8477498,2023,Darnell Nurse,EDM,D,81,1773.45,2028,181,403,32,10,22,11,11,4,1,3,1,1,0,172,168,19,57,0,0,29,69,11,29
8477998,2023,Warren Foegele,EDM,L,82,1146.02,1500,201,372,41,20,21,14,7,1,1,0,2,1,1,32,89,40,36,5,6,16,37,19,41
8482077,2023,Dylan Holloway,EDM,L,38,432.12,570,56,109,9,6,3,0,3,1,1,0,0,0,0,14,90,14,9,27,20,8,19,10,23
8477933,2023,Sam Reinhart,FLA,C,82,1664.58,2017,233,446,94,57,37,22,15,30,24,6,4,4,0,66,78,40,35,234,296,13,31,11,25
8476393,2023,Nick Cousins,FLA,C,69,840.83,1144,111,181,15,7,8,2,6,0,0,0,0,0,0,33,130,31,23,17,15,19,44,17,42
8475765,2023,Vladimir Tarasenko,FLA,R,76,1196,1663,155,314,55,23,32,20,12,9,3,6,0,0,0,39,85,18,27,4,3,6,12,7,14
8479367,2023,William Lockwood,FLA,R,26,213.17,319,19,37,1,0,1,0,1,0,0,0,0,0,0,8,54,6,4,4,4,5,16,3,12
8482713,2023,Mackie Samoskevich,FLA,R,7,84.27,112,11,17,0,0,0,0,0,0,0,0,0,0,0,3,5,1,5,0,1,0,0,1,2
8477932,2023,Aaron Ekblad,FLA,D,51,1064.03,1333,98,226,18,4,14,6,8,4,1,3,0,0,0,59,85,14,26,0,0,20,40,5,10
8479981,2023,Jonah Gadjovich,FLA,L,39,289.82,436,29,55,4,2,2,2,0,0,0,0,0,0,0,14,82,1,9,0,0,21,74,19,68
8477986,2023,Brandon Montour,FLA,D,66,1547.52,1697,168,413,33,8,25,6,19,16,0,16,0,0,0,67,104,18,40,0,0,14,26,9,18
8480185,2023,Eetu Luostarinen,FLA,C,82,1306.8,1804,119,236,27,12,15,10,5,2,2,0,1,0,1,56,130,51,28,96,83,13,26,22,44
8478904,2023,Steven Lorentz,FLA,C,38,333.9,500,30,63,3,1,2,1,1,0,0,0,0,0,0,14,70,13,6,68,71,5,10,0,0
8484304,2023,Uvis Balinskis,FLA,D,26,366.63,500,22,45,3,1,2,1,1,0,0,0,0,0,0,15,33,5,11,0,0,4,8,6,12
8475179,2023,Dmitry Kulikov,FLA,D,76,1255.05,1758,74,186,20,1,19,12,7,0,0,0,1,0,1,84,145,22,47,0,0,20,43,16,32
8479372,2023,Josh Mahura,FLA,D,30,377.77,553,25,48,9,0,9,3,6,0,0,0,1,0,1,27,40,3,6,0,0,10,20,7,14
8478859,2023,Niko Mikkola,FLA,D,82,1643.02,2175,93,213,17,3,14,6,8,0,0,0,1,0,1,124,197,10,37,0,0,23,49,13,29
8478055,2023,Gustav Forsling,FLA,D,79,1749.22,2130,160,396,39,10,29,17,12,2,1,1,0,0,0,102,111,41,48,0,0,15,33,12,27
8477935,2023,Sam Bennett,FLA,C,69,1146.08,1515,171,352,41,20,21,13,8,12,5,7,0,0,0,43,174,40,27,390,468,31,70,20,46
8478831,2023,Kevin Stenlund,FLA,C,81,1020.93,1462,81,142,15,11,4,3,1,0,0,0,2,2,0,55,83,36,14,429,406,26,52,8,16
8473449,2023,Kyle Okposo,FLA,R,67,894.63,1182,115,195,22,12,10,7,3,4,2,2,1,1,0,35,75,20,12,131,144,12,24,8,16
8475171,2023,Oliver Ekman-Larsson,FLA,D,80,1471.5,1953,123,294,32,9,23,10,13,10,1,9,0,0,0,70,105,15,35,0,0,29,56,14,28
8477493,2023,Aleksander Barkov,FLA,C,73,1433.48,1800,194,373,80,23,57,35,22,27,5,22,2,0,2,50,104,61,31,630,470,11,24,16,32
8481600,2023,Tobias Bjornfot,FLA,D,4,55.23,78,1,3,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,0,0,1,2,0,0
8482113,2023,Anton Lundell,FLA,C,78,1199.35,1630,166,281,35,13,22,11,11,5,1,4,1,0,1,40,62,32,31,482,396,17,36,14,28
8482088,2023,Justin Sourdif,FLA,R,3,26.52,36,2,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,1,2
8477409,2023,Carter Verhaeghe,FLA,C,76,1365.15,1626,246,500,72,34,38,24,14,21,8,13,0,0,0,20,63,39,39,37,47,18,36,9,18
8478542,2023,Evan Rodrigues,FLA,C,80,1213.38,1577,186,373,39,12,27,14,13,9,3,6,0,0,0,28,104,28,34,29,29,17,34,20,42
8479314,2023,Matthew Tkachuk,FLA,L,80,1491.2,1749,281,501,88,26,62,43,19,30,6,24,1,1,0,28,151,39,62,3,6,31,68,45,96
8479066,2023,Ryan Lomberg,FLA,L,75,715.52,1034,68,137,7,5,2,2,0,1,1,0,0,0,0,21,179,14,14,5,12,22,50,19,44
8481560,2023,Arthur Kaliyev,LAK,R,51,601.92,767,101,211,15,7,8,7,1,4,3,1,0,0,0,14,33,11,15,0,1,6,14,3,6
8482155,2023,Alex Laferriere,LAK,R,81,1070.83,1366,147,319,23,12,11,7,4,3,0,3,0,0,0,27,113,21,26,7,6,20,46,18,44
8479675,2023,Trevor Moore,LAK,L,82,1474.35,1825,244,440,57,31,26,14,12,7,2,5,1,1,0,58,91,39,25,14,34,13,28,19,38
8479998,2023,Mikey Anderson,LAK,D,74,1526.72,1630,89,206,18,2,16,8,8,0,0,0,0,0,0,129,128,14,27,0,0,9,18,12,24
8476479,2023,Phillip Danault,LAK,C,78,1405.65,1738,159,278,47,17,30,20,10,8,3,5,1,0,1,60,80,22,38,600,557,9,18,14,28
8479400,2023,Pierre-Luc Dubois,LAK,C,82,1287.5,1581,146,286,40,16,24,15,9,9,7,2,0,0,0,37,96,21,30,440,445,30,60,29,58
8473453,2023,Trevor Lewis,LAK,C,82,954.13,1373,130,211,16,8,8,6,2,1,0,1,1,0,1,62,90,15,17,133,180,10,20,7,14
8480851,2023,Akil Thomas,LAK,C,7,61.1,84,9,16,4,3,1,0,1,0,0,0,0,0,0,3,8,2,0,4,6,1,2,4,8
8477971,2023,Andreas Englund,LAK,D,82,1084.23,1333,41,110,10,1,9,2,7,0,0,0,0,0,0,87,189,8,22,0,0,24,81,22,77
8478882,2023,Vladislav Gavrikov,LAK,D,77,1587.5,1774,114,219,23,6,17,5,12,0,0,0,1,0,1,114,55,23,42,0,0,9,18,8,16
8471685,2023,Anze Kopitar,LAK,C,81,1592.32,1833,133,232,70,26,44,29,15,21,8,13,3,1,2,65,37,49,37,859,701,6,12,12,24
8481481,2023,Blake Lizotte,LAK,C,62,732.9,1046,76,128,15,7,8,6,2,0,0,0,1,1,0,28,64,11,13,171,194,9,20,14,28
8477960,2023,Adrian Kempe,LAK,R,77,1457.92,1729,246,499,75,28,47,25,22,24,5,19,4,3,1,32,112,31,24,3,10,29,62,34,68
8479336,2023,Carl Grundstrom,LAK,R,50,546.85,753,95,177,12,8,4,2,2,1,1,0,1,1,0,16,115,10,13,2,8,6,12,5,10
8481532,2023,Alex Turcotte,LAK,C,20,185.6,264,14,36,4,1,3,0,3,0,0,0,0,0,0,10,7,6,1,21,21,3,6,3,6
8482730,2023,Brandt Clarke,LAK,D,16,218.42,263,31,54,6,2,4,3,1,3,0,3,0,0,0,21,6,1,2,0,0,5,10,3,6
8474563,2023,Drew Doughty,LAK,D,82,2115.07,2071,135,306,50,15,35,14,21,17,5,12,0,0,0,142,109,20,45,0,0,22,44,13,26
8482124,2023,Quinton Byfield,LAK,R,80,1318.7,1616,161,313,55,20,35,21,14,12,6,6,0,0,0,19,66,46,15,41,49,16,32,16,32
8481239,2023,Samuel Fagemo,LAK,L,8,73.48,107,13,19,1,1,0,0,0,1,1,0,0,0,0,3,5,0,3,0,1,0,0,0,0
8477942,2023,Kevin Fiala,LAK,L,82,1478.92,1632,225,467,73,29,44,21,23,29,11,18,0,0,0,28,67,45,57,10,28,25,52,16,32
8479421,2023,Jacob Moverare,LAK,D,24,250.72,311,11,29,1,1,0,0,0,0,0,0,0,0,0,23,12,0,3,0,0,3,6,1,2
8481606,2023,Jordan Spence,LAK,D,71,1024.25,1207,80,198,24,2,22,13,9,6,1,5,0,0,0,55,67,6,18,0,0,5,12,3,6
8478042,2023,Viktor Arvidsson,LAK,R,18,300.45,345,59,100,15,6,9,4,5,4,0,4,0,0,0,18,8,8,5,3,6,7,14,6,12
8478911,2023,Matt Roy,LAK,D,81,1692.48,1908,135,294,25,5,20,12,8,1,0,1,1,0,1,197,152,12,55,0,0,16,32,5,10
8475220,2023,Marcus Foligno,MIN,L,55,796.52,1010,56,108,22,10,12,8,4,0,0,0,1,0,1,40,179,26,18,7,11,19,59,18,57
8483499,2023,Liam Ohgren,MIN,L,4,58.05,61,8,14,2,1,1,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,2
8476463,2023,Jonas Brodin,MIN,D,62,1449.08,1576,117,233,27,7,20,7,13,1,0,1,0,0,0,142,21,26,21,0,0,8,16,6,12
8475692,2023,Mats Zuccarello,MIN,R,69,1303.58,1285,173,334,63,12,51,33,18,25,3,22,0,0,0,50,26,38,38,27,45,15,30,20,40
8482177,2023,Marat Khusnutdinov,MIN,C,16,209.77,247,6,21,4,1,3,0,3,1,1,0,0,0,0,9,16,7,4,49,54,3,6,3,6
8471274,2023,Alex Goligoski,MIN,D,36,533.1,644,32,80,10,0,10,7,3,2,0,2,0,0,0,41,27,3,12,0,0,9,18,4,8
8480990,2023,Declan Chisholm,MIN,D,31,512.4,583,29,70,9,3,6,4,2,5,2,3,0,0,0,38,12,5,13,0,0,4,8,0,0
8479972,2023,Mason Shaw,MIN,C,20,163.7,211,21,39,3,1,2,2,0,0,0,0,0,0,0,6,29,3,1,7,1,4,14,2,10
8482197,2023,Adam Raska,MIN,R,5,34.05,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,2,4
8482079,2023,Marco Rossi,MIN,C,82,1371.87,1476,167,295,40,21,19,10,9,6,2,4,0,0,0,37,35,33,21,335,414,17,37,29,61
8477464,2023,Nic Petan,MIN,C,6,65,80,11,19,2,0,2,1,1,1,0,1,0,0,0,1,5,2,1,2,3,1,2,0,0
8476915,2023,Jujhar Khaira,MIN,L,1,8.08,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
8475750,2023,Jon Merrill,MIN,D,65,830.73,985,42,92,11,4,7,4,3,0,0,0,0,0,0,57,37,8,12,0,0,15,30,5,10
8477541,2023,Dakota Mermis,MIN,D,47,662.1,844,42,121,8,3,5,2,3,0,0,0,0,0,0,59,45,7,12,0,0,10,23,5,13
8477919,2023,Frederick Gaudreau,MIN,C,67,934.13,1177,105,185,15,5,10,4,6,7,2,5,0,0,0,47,24,17,18,273,274,6,12,2,4
8478136,2023,Jake Middleton,MIN,D,80,1584.67,1915,85,190,25,7,18,9,9,0,0,0,1,0,1,161,147,21,22,0,0,27,77,25,75
8480267,2023,Sammy Walker,MIN,C,4,37.45,50,3,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
8475149,2023,Marcus Johansson,MIN,L,78,1239.25,1424,112,246,30,11,19,9,10,6,1,5,0,0,0,29,44,26,33,6,26,11,22,16,34
8474716,2023,Jared Spurgeon,MIN,D,16,373.23,435,21,54,5,0,5,1,4,3,0,3,0,0,0,29,14,3,1,0,0,1,2,1,4
8482094,2023,Daemon Hunt,MIN,D,12,138.05,173,7,21,1,0,1,0,1,0,0,0,0,0,0,17,8,1,3,0,0,0,0,1,2
8474567,2023,Zach Bogosian,MIN,D,65,1162.23,1384,83,188,14,3,11,6,5,0,0,0,1,0,1,83,109,11,25,0,0,20,43,7,17
8481550,2023,Adam Beckman,MIN,L,11,103.48,128,10,23,2,0,2,1,1,0,0,0,0,0,0,3,13,2,0,0,0,1,2,2,4
8477451,2023,Ryan Hartman,MIN,R,74,1222.23,1396,173,345,45,21,24,12,12,5,4,1,0,0,0,65,75,39,37,371,419,26,52,25,50
8478493,2023,Joel Eriksson Ek,MIN,C,77,1580.62,1738,268,425,64,30,34,15,19,17,9,8,1,1,0,55,168,37,17,796,806,25,50,31,64
8482122,2023,Brock Faber,MIN,D,82,2047.88,2191,136,293,47,8,39,18,21,15,2,13,0,0,0,150,65,15,35,0,0,13,26,6,12
8481557,2023,Matt Boldy,MIN,L,75,1418.33,1437,227,507,69,29,40,26,14,22,10,12,0,0,0,32,33,61,49,37,51,22,48,21,42
8478864,2023,Kirill Kaprizov,MIN,L,75,1618.27,1567,277,582,96,46,50,33,17,35,17,18,0,0,0,38,55,38,73,0,1,17,36,24,48
8479968,2023,Vinni Lettieri,MIN,C,46,440.95,557,47,89,9,5,4,3,1,0,0,0,0,0,0,27,53,6,7,41,42,7,14,4,10
8481422,2023,Jacob Lucchini,MIN,C,40,383.92,487,22,52,5,2,3,1,2,0,0,0,0,0,0,14,22,6,3,45,58,5,13,1,5
8483457,2023,Lane Hutson,MTL,D,2,45.43,47,3,6,2,0,2,2,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0
8481093,2023,Rafael Harvey-Pinard,MTL,L,45,568.7,735,26,60,10,2,8,7,1,0,0,0,1,0,1,47,47,5,13,13,28,3,6,6,12
8475233,2023,David Savard,MTL,D,60,1214.48,1323,54,118,24,6,18,6,12,0,0,0,0,0,0,163,69,12,46,0,0,12,24,5,10
8480192,2023,Johnathan Kovacevic,MTL,D,62,1024.13,1182,46,150,13,6,7,4,3,0,0,0,0,0,0,83,74,9,50,0,0,18,42,10,26
8476875,2023,Mike Matheson,MTL,D,82,2095.33,2074,187,403,62,11,51,24,27,27,4,23,2,2,0,186,61,49,76,0,0,29,58,23,46
8481618,2023,Alex Newhook,MTL,C,55,930.95,1049,85,181,34,15,19,7,12,8,2,6,0,0,0,31,35,21,30,229,263,10,18,10,20
8483515,2023,Juraj Slafkovsky,MTL,L,82,1470.73,1618,152,314,50,20,30,19,11,15,6,9,0,0,0,71,151,34,42,10,10,26,55,12,27
8482087,2023,Kaiden Guhle,MTL,D,70,1459.55,1658,95,190,22,6,16,7,9,0,0,0,0,0,0,178,116,25,43,0,0,25,56,10,26
8483549,2023,Lucas Condotta,MTL,L,3,22.5,34,2,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5,5,0,0,2,4
8479543,2023,Michael Pezzetta,MTL,L,61,475.55,663,42,94,12,3,9,6,3,0,0,0,0,0,0,29,242,2,17,6,8,19,59,11,43
8478133,2023,Jake Evans,MTL,C,82,1313.5,1695,81,174,28,7,21,11,10,0,0,0,1,1,0,65,86,27,30,593,544,11,24,18,36
8481523,2023,Kirby Dach,MTL,C,2,26.03,27,3,5,2,0,2,0,2,0,0,0,0,0,0,0,3,1,0,3,5,0,0,1,2
8476871,2023,Tanner Pearson,MTL,L,54,698.68,921,77,140,13,5,8,4,4,2,1,1,0,0,0,35,50,15,25,5,17,9,21,8,19
8482733,2023,Logan Mailloux,MTL,D,1,21.23,22,2,4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
8481593,2023,Jayden Struble,MTL,D,56,902.27,1015,47,126,10,3,7,3,4,0,0,0,0,0,0,53,120,22,34,0,0,16,37,11,25
8482749,2023,Joshua Roy,MTL,R,23,279.23,369,34,77,9,4,5,4,1,0,0,0,0,0,0,21,12,9,5,2,5,0,0,1,2
8481058,2023,Jesse Ylnen,MTL,R,59,604,821,50,80,8,4,4,2,2,0,0,0,0,0,0,32,41,6,7,5,4,6,12,4,8
