playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8481522,2021,Peyton Krebs,BUF,C,57,831.33,1076,56,99,22,7,15,11,4,8,25,15,35,61,112,11,22,11,22,10,0,10,0,0,0
8476288,2021,Ryan Dzingel,SJS,C,32,438.78,615,32,58,8,5,3,3,0,9,20,13,8,65,88,8,25,5,19,0,0,0,0,0,0
8471284,2021,Andrej Sekera,DAL,D,32,438.87,588,26,53,4,1,3,1,2,25,15,3,14,0,0,8,16,3,6,0,0,0,0,0,0
8480157,2021,Calle Rosen,STL,D,18,257.9,391,18,39,7,2,5,1,4,16,6,3,11,0,0,2,4,1,2,0,0,0,0,0,0
8474190,2021,Wayne Simmonds,TOR,R,72,671.78,987,79,133,16,5,11,5,6,11,148,15,18,3,3,19,56,21,60,1,0,1,0,0,0
8480883,2021,Ty Smith,NJD,D,66,1155.3,1412,77,187,20,5,15,5,10,73,45,13,40,0,0,11,22,9,18,4,0,4,0,0,0
8474162,2021,Jake Muzzin,TOR,D,47,974.17,1244,75,166,14,3,11,5,6,60,105,12,44,0,0,8,16,5,10,0,0,0,0,0,0
8478058,2021,CJ Suess,WPG,L,3,17.13,27,0,2,0,0,0,0,0,5,2,1,0,2,2,1,2,1,2,0,0,0,0,0,0
8477503,2021,Max Domi,CAR,C,72,938.55,1281,104,206,39,11,28,18,10,9,24,36,33,39,47,26,55,17,37,4,0,4,0,0,0
8479316,2021,Luke Kunin,NSH,C,82,1134.03,1568,125,209,22,13,9,6,3,51,223,20,17,48,61,29,79,17,55,2,0,2,0,0,0
8476525,2021,Colin Miller,BUF,D,38,721.32,929,48,102,14,2,12,7,5,42,50,6,13,0,0,9,21,6,15,3,0,3,0,0,0
8477471,2021,Dillon Heatherington,OTT,D,9,111,153,4,9,0,0,0,0,0,2,18,0,2,0,0,2,7,1,5,0,0,0,0,0,0
8480037,2021,Aleksi Heponiemi,FLA,C,6,84.17,113,7,8,1,0,1,0,1,1,0,3,3,2,4,1,2,0,0,1,0,1,0,0,0
8479512,2021,Kasper Bjorkqvist,PIT,R,6,50.22,73,8,11,1,1,0,0,0,2,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0
8477951,2021,Nick Schmaltz,ARI,C,63,1149.58,1461,123,212,59,23,36,27,9,28,15,52,42,114,125,7,14,9,20,6,4,2,0,0,0
8480216,2021,Jacob Peterson,DAL,C,65,719.1,1026,85,146,17,12,5,3,2,23,22,13,17,59,56,6,12,11,22,1,0,1,0,0,0
8471817,2021,Ryan Reaves,NYR,R,69,734.8,976,44,73,13,5,8,3,5,16,279,11,21,5,5,17,43,8,25,0,0,0,0,0,0
8477940,2021,Nikolaj Ehlers,WPG,L,62,1120.27,1330,245,450,55,28,27,18,9,27,32,41,44,2,1,10,20,22,42,7,2,5,0,0,0
8475625,2021,Matt Irwin,WSH,D,17,214.92,286,29,49,4,1,3,0,3,21,36,2,7,0,0,3,6,3,6,0,0,0,0,0,0
8476474,2021,Stefan Noesen,CAR,R,2,28.65,39,4,11,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
8473446,2021,Erik Johnson,COL,D,69,1199.15,1647,129,236,20,7,13,4,9,126,148,33,28,0,0,11,22,3,6,0,0,0,2,1,1
8477359,2021,Tucker Poolman,VAN,D,40,680.05,887,47,104,3,1,2,1,1,73,33,7,15,0,0,2,12,5,10,0,0,0,0,0,0
8480448,2021,Parker Kelly,OTT,L,41,433.6,669,48,83,12,7,5,0,5,30,131,11,7,0,2,11,30,9,21,0,0,0,0,0,0
8476873,2021,Mark Jankowski,BUF,C,19,259.25,368,14,29,5,2,3,1,2,8,5,4,10,86,93,2,4,5,10,0,0,0,0,0,0
8476872,2021,Scott Laughton,PHI,C,67,1100.23,1592,110,196,30,11,19,10,9,47,151,31,40,395,379,16,35,22,45,1,0,1,2,2,0
8474027,2021,Justin Braun,NYR,D,69,1348.72,1813,73,160,18,6,12,5,7,121,87,16,32,0,0,18,36,7,14,0,0,0,0,0,0
8475968,2021,Alex Belzile,MTL,R,11,114.32,172,13,19,0,0,0,0,0,5,17,3,5,8,11,2,4,2,4,0,0,0,0,0,0
8476927,2021,Teddy Blueger,PIT,C,65,976.17,1321,93,134,28,9,19,8,11,32,87,37,22,356,316,5,10,9,18,0,0,0,2,1,1
8478454,2021,Noah Juulsen,VAN,D,8,117.4,184,6,11,2,0,2,1,1,11,20,1,5,0,0,0,0,1,2,0,0,0,0,0,0
8474166,2021,Alec Martinez,VGK,D,26,508.05,623,32,69,8,3,5,1,4,68,26,8,19,0,0,2,4,2,4,0,0,0,0,0,0
8477456,2021,J.T. Compher,COL,L,70,1142.57,1479,102,199,33,18,15,9,6,55,31,26,18,338,319,11,25,13,27,5,4,1,1,1,0
8477810,2021,Joel Hanley,DAL,D,44,525.38,748,18,56,6,2,4,3,1,43,60,5,14,0,0,2,4,2,4,0,0,0,0,0,0
8480831,2021,Alec Regula,CHI,D,15,268.18,348,18,41,1,1,0,0,0,21,21,8,13,0,0,6,12,5,10,0,0,0,0,0,0
8475793,2021,Ryan Johansen,NSH,C,79,1308.67,1664,118,182,63,26,37,14,23,35,72,39,45,691,622,25,53,9,23,24,11,13,0,0,0
8475842,2021,Sam Carrick,ANA,C,64,733.9,1040,80,139,19,11,8,2,6,21,122,14,14,204,209,26,85,19,71,0,0,0,0,0,0
8476292,2021,Ondrej Palat,TBL,L,77,1269.83,1624,143,248,49,18,31,18,13,42,123,30,25,2,16,10,20,11,22,6,1,5,1,0,1
8476892,2021,Colton Parayko,STL,D,80,1884.48,2522,135,244,35,6,29,10,19,169,72,51,53,0,0,10,18,17,34,1,0,1,0,0,0
8481555,2021,Mattias Norlinder,MTL,D,6,73.75,94,2,3,1,0,1,0,1,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0
8480821,2021,Filip Zadina,DET,R,74,1049.05,1252,154,284,24,10,14,5,9,34,57,24,30,5,5,5,10,15,30,8,4,4,0,0,0
8475906,2021,John Klingberg,DAL,D,74,1643.47,1827,139,361,47,6,41,24,17,77,57,16,86,0,0,17,34,13,26,15,0,15,0,0,0
8474009,2021,Nick Bonino,SJS,C,80,1335.98,1876,137,211,26,16,10,5,5,102,34,50,15,475,450,9,18,6,12,7,3,4,1,1,0
8476875,2021,Mike Matheson,PIT,D,74,1391.13,1716,140,295,31,11,20,11,9,81,97,43,43,0,0,14,33,17,37,2,0,2,0,0,0
8478408,2021,Travis Dermott,VAN,D,60,920.15,1255,46,100,7,2,5,2,3,46,55,7,26,0,0,7,14,7,14,0,0,0,0,0,0
8477330,2021,Dominik Kubalik,CHI,L,78,1132.63,1461,161,285,32,15,17,3,14,28,93,18,25,8,12,7,16,12,26,7,3,4,0,0,0
8474673,2021,TJ Brodie,TOR,D,82,1747.53,2188,68,158,28,4,24,11,13,106,53,30,62,0,0,17,34,9,18,1,0,1,2,0,2
8479321,2021,Lucas Johansen,WSH,D,1,12.3,19,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480025,2021,MacKenzie Entwistle,CHI,R,55,563.58,796,34,54,12,5,7,4,3,22,129,9,10,18,27,5,13,14,31,0,0,0,1,1,0
8481058,2021,Jesse Ylonen,MTL,R,14,161.92,231,16,27,5,2,3,3,0,4,5,2,3,0,0,1,2,0,0,0,0,0,0,0,0
8482475,2021,Yegor Chinakhov,CBJ,R,62,775.18,1057,98,189,14,7,7,5,2,16,50,19,19,0,6,8,16,9,18,1,1,0,0,0,0
8479415,2021,Michael McLeod,NJD,C,77,1026.1,1609,78,126,20,6,14,7,7,34,145,46,28,604,451,20,52,16,44,0,0,0,1,0,1
