playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8470794,2020,Joe Pavelski,DAL,C,56,1065.53,1395,139,242,51,25,26,14,12,39,64,17,20,364,335,8,16,12,24,18,10,8,0,0,0
8479514,2020,Rem Pitlick,NSH,C,10,113.03,150,11,13,2,0,2,2,0,1,8,0,3,15,21,2,4,1,2,0,0,0,0,0,0
8477948,2020,Travis Sanheim,PHI,D,55,1203.4,1595,99,195,14,2,12,5,7,73,48,17,40,0,0,10,23,10,23,0,0,0,0,0,0
8480950,2020,Ilya Lyubushkin,ARI,D,42,658.78,897,36,72,2,1,1,1,0,72,103,8,13,0,0,5,10,5,10,0,0,0,0,0,0
8470144,2020,Frans Nielsen,DET,C,29,350.58,496,24,37,6,1,5,3,2,12,23,7,4,20,19,0,0,4,8,0,0,0,0,0,0
8475163,2020,Alex Chiasson,EDM,R,45,561.78,682,65,99,16,9,7,3,4,7,40,13,10,2,3,6,21,3,12,7,5,2,0,0,0
8480802,2020,Ryan McLeod,EDM,C,10,127.88,167,3,12,1,0,1,1,0,5,3,1,6,41,40,0,0,1,2,0,0,0,0,0,0
8482654,2020,Jackson Cates,PHI,C,4,42.4,66,7,8,1,0,1,1,0,0,0,1,1,13,11,0,0,1,2,0,0,0,0,0,0
8475842,2020,Sam Carrick,ANA,C,13,167.98,240,23,35,6,2,4,2,2,3,29,2,6,33,30,6,18,8,22,1,0,1,0,0,0
8475760,2020,Nick Bjugstad,MIN,C,44,519.68,650,78,117,17,6,11,7,4,22,48,12,10,127,145,7,17,4,13,1,0,1,0,0,0
8475168,2020,Matt Duchene,NSH,C,34,537.87,651,72,125,13,6,7,5,2,10,30,13,15,161,139,3,6,11,22,2,0,2,0,0,0
8475166,2020,John Tavares,TOR,C,56,1019,1189,163,278,50,19,31,18,13,28,51,32,55,470,381,7,14,13,26,10,5,5,0,0,0
8480186,2020,Alexander Volkov,ANA,R,37,430.88,568,35,51,13,7,6,1,5,25,36,11,5,2,3,3,6,3,6,0,0,0,0,0,0
8475625,2020,Matt Irwin,BUF,D,24,390.02,462,27,46,2,0,2,2,0,43,56,7,7,0,0,8,19,3,9,0,0,0,0,0,0
8479393,2020,Noah Gregor,S.J,C,30,351.75,491,60,98,6,5,1,0,1,19,47,11,6,20,49,3,6,4,8,0,0,0,0,0,0
8477038,2020,Nikita Gusev,FLA,L,27,388.73,487,58,96,10,4,6,3,3,1,3,9,18,0,0,1,2,2,4,2,0,2,0,0,0
8479996,2020,Cody Glass,VGK,C,27,392.58,493,28,55,10,4,6,4,2,9,10,11,6,110,149,4,8,6,12,5,4,1,0,0,0
8475171,2020,Oliver Ekman-Larsson,ARI,D,46,964.52,1211,83,175,24,3,21,11,10,26,72,12,25,0,0,16,32,8,16,14,2,12,0,0,0
8474709,2020,Matt Martin,NYI,L,54,597.73,835,68,93,11,6,5,4,1,23,181,11,6,3,9,10,26,8,22,2,1,1,0,0,0
8475167,2020,Victor Hedman,T.B,D,54,1352.73,1500,138,313,45,9,36,22,14,73,51,12,28,0,0,13,28,10,20,23,1,22,0,0,0
8474715,2020,Cam Atkinson,CBJ,R,56,1059.13,1321,158,250,34,15,19,12,7,30,22,22,45,7,23,2,4,6,10,9,1,8,3,3,0
8476470,2020,Nathan Beaulieu,WPG,D,25,418.18,523,26,52,1,0,1,0,1,30,39,3,23,0,0,7,20,3,12,0,0,0,0,0,0
8480945,2020,Juuso Riikola,PIT,D,2,22.85,34,1,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477962,2020,Brendan Lemieux,L.A,L,49,495.23,719,50,94,11,4,7,5,2,26,109,8,13,6,20,18,51,21,59,0,0,0,0,0,0
8477210,2020,Buddy Robinson,CGY,R,9,64.23,103,6,13,0,0,0,0,0,0,14,4,2,1,2,0,0,1,2,0,0,0,0,0,0
8478402,2020,Connor McDavid,EDM,C,56,1240.3,1182,200,314,105,33,72,50,22,24,61,36,47,316,321,10,20,28,54,33,9,24,0,0,0
8476624,2020,Barclay Goodrow,T.B,C,55,831.58,1131,72,102,20,6,14,6,8,27,110,16,12,163,161,20,52,10,32,0,0,0,0,0,0
8478430,2020,Oliver Kylington,CGY,D,8,104.65,151,7,16,1,0,1,1,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0
8475455,2020,Brenden Dillon,WSH,D,56,1060.78,1326,51,138,19,2,17,7,10,61,143,13,27,0,0,16,44,8,28,1,0,1,1,0,1
8478996,2020,Adam Brooks,TOR,C,11,117.43,170,10,14,5,4,1,0,1,2,14,4,4,7,10,0,0,1,2,1,1,0,1,1,0
8476850,2020,Ryan Murray,N.J,D,48,893.8,1098,29,67,14,0,14,4,10,73,38,11,22,0,0,3,8,0,0,0,0,0,0,0,0
8479442,2020,Troy Stecher,DET,D,44,760.63,952,55,129,11,3,8,2,6,44,33,9,29,0,0,6,12,4,8,0,0,0,0,0,0
8474589,2020,Tyler Ennis,EDM,C,30,363.78,463,38,59,9,3,6,3,3,6,43,10,9,6,3,3,6,4,8,0,0,0,0,0,0
8477126,2020,Jayson Megna,COL,C,7,71.77,107,12,15,2,0,2,2,0,3,14,1,0,12,10,0,0,3,6,0,0,0,0,0,0
8475799,2020,Nino Niederreiter,CAR,R,56,880.18,1090,126,205,35,20,15,8,7,17,68,16,26,1,6,13,29,11,27,5,4,1,0,0,0
8478873,2020,Troy Terry,ANA,R,48,705.63,957,69,129,20,7,13,10,3,13,5,19,23,2,2,8,18,12,24,0,0,0,0,0,0
8479364,2020,Tim Gettinger,NYR,L,2,23.65,36,2,2,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8477541,2020,Dakota Mermis,MIN,D,3,49.2,59,2,6,0,0,0,0,0,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8477346,2020,MacKenzie Weegar,FLA,D,54,1194.33,1515,101,181,36,6,30,14,16,83,114,43,51,0,0,17,35,12,27,1,0,1,2,0,2
8478010,2020,Brayden Point,T.B,C,56,1030.72,1182,131,213,48,23,25,12,13,17,23,27,11,256,262,4,11,21,47,14,5,9,0,0,0
8476399,2020,Blake Coleman,T.B,C,55,851.53,1149,121,181,31,14,17,7,10,20,109,25,19,2,7,17,37,19,39,1,1,0,0,0,0
8476853,2020,Morgan Rielly,TOR,D,55,1298.68,1425,101,218,36,5,31,11,20,61,63,19,75,0,0,7,14,6,12,9,1,8,1,0,1
