playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8475169,2019,Evander Kane,S.J,L,64,1248.38,1518,215,345,46,26,20,14,6,24,134,45,51,106,96,34,82,16,39,15,11,4,2,2,0
8480950,2019,Ilya Lyubushkin,ARI,D,51,722.52,989,41,90,4,0,4,3,1,54,150,13,20,0,0,9,18,4,8,0,0,0,0,0,0
8470144,2019,Frans Nielsen,DET,C,60,820.15,1164,86,128,8,4,4,3,1,35,44,11,15,210,247,4,8,5,12,2,0,2,2,1,1
8476981,2019,Josh Anderson,CBJ,R,26,418.4,539,63,98,4,1,3,2,1,13,68,9,12,7,12,7,17,7,17,0,0,0,0,0,0
8479318,2019,Auston Matthews,TOR,C,70,1464.83,1623,290,502,80,47,33,19,14,60,40,78,48,502,416,4,8,14,28,20,12,8,0,0,0
8478506,2019,Gabriel Carlsson,CBJ,D,6,65.27,100,3,7,0,0,0,0,0,0,5,0,3,0,0,1,2,0,0,0,0,0,0,0,0
8477126,2019,Jayson Megna,COL,C,8,53.7,79,4,7,0,0,0,0,0,5,10,0,1,0,1,1,2,0,0,0,0,0,0,0,0
8478407,2019,Vince Dunn,STL,D,71,1144.1,1525,135,265,23,9,14,9,5,47,50,12,32,0,0,12,27,12,30,10,4,6,0,0,0
8478498,2019,Jake DeBrusk,BOS,L,65,1040.58,1223,161,260,35,19,16,9,7,15,35,26,21,9,17,7,14,15,30,10,7,3,0,0,0
8470187,2019,Johnny Boychuk,NYI,D,64,1103.58,1418,96,212,12,2,10,7,3,127,135,6,50,1,0,7,14,3,6,1,1,0,1,0,1
8478469,2019,Thomas Chabot,OTT,D,71,1844.22,1930,187,418,39,6,33,17,16,85,79,42,87,0,0,21,42,10,20,7,0,7,0,0,0
8478851,2019,Alexandre Carrier,NSH,D,3,32.25,44,4,4,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
8479379,2019,Givani Smith,DET,R,21,202.52,258,22,28,3,2,1,1,0,3,42,2,6,0,0,3,9,5,13,0,0,0,0,0,0
8479371,2019,Dante Fabbro,NSH,D,64,1217.38,1497,92,191,12,5,7,3,4,85,54,23,39,0,0,19,38,15,30,1,1,0,0,0,0
